Code,Parties,Jurisdiction,Type,Commodity,Status,Application date,Grant date,Expiry date,Number of licence renewals,Mining area,Application number,Comments,Map_Refe,guidSHectarep,guidLice,PartName
TN2572,2M CAPITAL LIMITED,Uganda,Exploration licence,Pozzolana,Application,21-Jun-17,,,,43.6000 square kilometer ,TN2572,,"Western Region, Rubirizi",97e9e5eb-45af-4544-bd53-93a62f11c637,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1347,3M MINING LIMITED (100%),Uganda,Exploration licence,Iron Ore,Active,27-Mar-14,19-Jun-14,18-Jun-17,0,6.1600 square kilometer  ,TN1941,,"Eastern Region, Manafwa",3ac47e23-0305-4ac8-8f5f-e43ccea1893c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML4647,3T MINING LIMITED (100%),Uganda,Mining lease,Coltan,Active,,13-Jan-03,01-Dec-24,0,6.5512 Hectare,,,"Central Region, Wakiso",232da329-f9f1-481d-9a50-e6e01ef10535,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN1930,ABM LOGISTIC (100%),Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals, Rare Earth Elements",Application,18-Mar-14,,,,92.0418 square kilometer,TN1930,,"Western Region, Hoima",e7cc3d9e-12e8-456b-8427-c3f79994e1f7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2989,ACCESS MINING UGANDA SMC LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,30-Nov-18,,,,306.0000 square kilometer,TN2989,,"Western Region, Kabarole",9a630495-66d7-4f4a-8af5-5f3f10af39c3,41b6661a-9653-4509-98f5-f5ffc27acb34,1
EL 1848,ACE MINERAL RESOURCES LIMITED (100%),Uganda,Exploration licence,"Gold, Marble, Platinum Group Metals",Active,15-Feb-16,17-Oct-18,16-Oct-21,0,437.0000 square kilometer,TN2324,,"Northern Region, Moroto, Napak",9eddff95-f56c-4b14-afda-77791091d033,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1746,ACHOLI RESOURCES LIMITED,Uganda,Exploration licence,"Base Metals, Cobalt, Copper, Gold, Precious Metals",Active,01-Nov-18,19-Apr-18,18-Apr-21,0,350.8417 square kilometer,TN2706,,"Northern Region, Amudat, Nakapiripirit",f090fd92-a2c5-4bd2-bf5e-8b7c00fc2ce5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2307,AFRICA TRADE AND INVESTMENT FUND LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,01-Apr-16,,,,112.0000 square kilometer,TN2307,,"Northern Region, Amuru",2f8e4aa6-8233-4001-a0a1-e42b5b24e503,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1772,AFRICAN PANTHER RESOURCES (U) LTD,Uganda,Exploration licence,"Base Metals, Precious Metals",Active,26-Jun-17,20-Jun-18,19-Jun-21,0,30.0000 square kilometer,TN2577,,"Western Region, Isingiro",ba5174a2-06b3-4747-a49c-595b62775725,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1771,AFRICAN PANTHER RESOURCES (U) LTD,Uganda,Exploration licence,"Base Metals, Precious Metals",Active,07-May-17,07-Apr-18,07-Mar-21,0,0.1517 square kilometer,TN2584,,"Western Region, Isingiro",e3448258-ca73-41ac-b750-650b5aac9ac6,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML1433,AFRICAN PANTHER RESOURCES (U) LTD (100%),Uganda,Mining lease,"Base Metals, Cassiterite, Gold, Silver",Active,24-Dec-14,02-Feb-15,02-Jan-36,0,2.0020 square kilometer,TN2111,,"Western Region, Isingiro",a858dd94-8451-4b02-af6a-3e61bd776056,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1380,AFRICAN PANTHER RESOURCES (U) LTD (100%),Uganda,Exploration licence,"Base Metals, Precious Metals",Active,23-Sep-14,25-Sep-14,24-Sep-19,1,8.8480 square kilometer,TN2038,"Date reviewed: 02/04/2015
User reviewed: Morris 
Status: up-to-date
Comments:","Western Region, Isingiro",1c606625-d806-43e5-bc5c-abd4a48cc2a5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 2
EL1548,AFRICAN PANTHER RESOURCES (U) LTD (100%),Uganda,Exploration licence,"Base Metals, Precious Metals",Active,16-Jul-15,29-Dec-15,28-Dec-18,0,15.0000 square kilometer,TN2226,,"Western Region, Isingiro",b164c1c2-f001-4999-815e-944fdbb9efb9,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2507,AGNES WANDERA NAJJUKA,Uganda,Exploration licence,"Base Metals, Gold, Industrial Minerals, Iron Ore",Application,15-Feb-17,,,,50.0000 square kilometer,TN2507,,"Central Region, Kalungu",9ffeaa70-41e6-4368-ab28-722e6a76b442,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2806,AINEBYONA PAUL,Uganda,Exploration licence,"Base Metals, Bentonite, Diatomite, Gold",Application,05-Apr-18,,,,89.2505 square kilometer,TN2806,,"Western Region, Kanungu, Mitooma, Rukungiri",b823b1ee-b22b-42c5-bfe4-6b2ad79fa2ae,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL 1852,ALFRED CHESAK,Uganda,Exploration licence,Pozzolana,Active,07-Dec-18,25-Oct-18,24-Oct-21,0,0.6945 square kilometer,TN2867,,"Eastern Region, Bulambuli, Kapchorwa",1d06156f-4dca-4b2a-8115-48379961ec37,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2868,ALFRED CHESAK,Uganda,Exploration licence,Pozzolana,Application,07-Dec-18,,,,2.2873 square kilometer,TN2868,,"Eastern Region, Bulambuli, Kapchorwa",343ca76a-dfd7-445c-bfd9-eb460d7a19fb,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2682,ALISTAN ENGINEERING LIMITED (AEL),Uganda,Exploration licence,"Base Metals, Gold",Application,12-Apr-17,,,,87.1088 square kilometer,TN2682,,"Western Region, Kyenjojo",bbe96e39-615f-4a15-a528-9ce59fecb4ca,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2908,ALJOUDA MINING CO. LTD,Uganda,Mining lease,Gold,Application,31-Aug-18,,,,27.8130 Hectare,TN2908,,"Eastern Region, Namayingo",e2bf144c-7667-4c92-97bb-ff0fe2d460fa,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN2483,ALJOUDA MINING CO. LTD,Uganda,Location license,Gold,Application,12-Jan-16,,,,0.2781 square kilometer,TN2483,,"Eastern Region, Namayingo",29c211a8-cec3-4e1e-8796-1f903c30afda,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
EL1532,ALJOUDA MINING CO. LTD (100%),Uganda,Exploration licence,"Limestone , Marble, Rare Earth Elements",Active,06-Apr-15,23-Dec-15,22-Dec-18,0,64.0000 square kilometer,TN2204,,"Northern Region, Lamwo",eff0fe66-45d6-496b-ace0-60e9e505c1a3,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2205,ALJOUDA MINING CO. LTD (100%),Uganda,Exploration licence,"Limestone , Marble, Rare Earth Elements",Application,06-Apr-15,,,,38.7500 square kilometer,TN2205,,"Northern Region, Lamwo",4b89244f-85dc-4dfe-ac50-bde66701b7b3,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN3010,AMINAH TREASURE MINERALS & JEWELLERY LIMITED,Uganda,Location license,Gold,Application,12-Oct-18,,,,0.1600 square kilometer,TN3010,,"Central Region, Mubende",78ec2649-8bb3-49ef-8894-c9f93e3aea9b,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN3011,AMINAH TREASURE MINERALS & JEWELLERY LIMITED,Uganda,Location license,Gold,Application,12-Oct-18,,,,0.0995 square kilometer,TN3011,,"Central Region, Mubende",f033428e-12f9-4ca2-b6cb-6ed657135a7d,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2739,AMUMPAIRE MARBLE KAKUHIKIRE,Uganda,Exploration licence,"Base Metals, Diamonds, Gold, Limestone , Marble",Application,03-Jun-18,,,,85.5000 square kilometer,TN2739,,"Northern Region, Moroto",a197d495-6ea9-4c03-baee-20f47262b8d1,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1489,ANCIENT GLOBAL RESOURCES LIMITED (100%),Uganda,Exploration licence,"Base Metals, Columbite, Precious Metals",Active,13-May-16,07-Jun-15,07-May-18,0,39.0000 square kilometer,TN2185,,"Western Region, Isingiro, Ntungamo",c5a62861-2a34-40f0-9a98-a163a9b4b325,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1760,ARMIA LUBEGA,Uganda,Exploration licence,Kaolin,Active,28-Mar-18,30-May-18,29-May-21,0,40.0000 square kilometer,TN2766,,"Central Region, Lwengo, Rakai",b2cc758e-d602-45ab-9738-be6eadaafd10,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2750,ARRM INVESTMENTS LIMITED,Uganda,Location license,"Berrylium, Kaolin, Lithium",Application,13-Mar-18,,,,0.1320 square kilometer,TN2750,,"Western Region, Mitooma",727c54a1-99fb-454c-a785-46663356d918,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2751,ARRM INVESTMENT LIMITED,Uganda,Exploration licence,"Berrylium, Kaolin, Tantalite",Application,13-Mar-18,,,,3.8058 square kilometer,TN2751,,"Western Region, Mitooma",62dc5773-d4e5-428a-a48a-3e41c45aa256,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML1782,ASCORT MINING (U) LIMITED,Uganda,Mining lease,"Gold, Tantalite, Tin",Active,13-Sep-16,30-Jul-18,29-Jul-39,0,581.8733 Hectare,TN2440,,"Western Region, Kisoro",5135e88f-27b3-47c9-9856-6e4a8481da4c,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN2736,ASKAR INVESTMENT (U) LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,28-Feb-18,,,,199.8238 square kilometer,TN2736,,"Central Region, Gomba, Mubende",fc09e708-9254-4499-bf57-0a1e8366a33d,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1128,ASKAR INVESTMENT (U) LIMITED (100%),Uganda,Exploration licence,Coltan,Active,17-Dec-12,16-Apr-13,15-Apr-16,0,11.6500 square kilometer,TN1623,,"Western Region, Ntungamo",13818438-923a-4b27-a328-1c6beba8dc1c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2973,ASKL MINERAL PROSPECTORS LTD,Uganda,Location license,"Base Metals, Gold",Application,13-Nov-18,,,,0.1600 square kilometer,TN2973,,"Western Region, Kyenjojo",dbd0e5bf-e8b0-4d01-9af5-ea1d37f4646e,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2974,ASKL MINERAL PROSPECTORS LTD,Uganda,Location license,"Base Metals, Gold",Application,13-Nov-18,,,,0.1600 square kilometer,TN2974,,"Western Region, Kyenjojo",6413d35d-3414-4fc5-bebe-58ad620461fd,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2975,ASKL MINERAL PROSPECTORS LTD,Uganda,Location license,Gold,Application,13-Nov-18,,,,0.1600 square kilometer,TN2975,,"Western Region, Kyenjojo",de23b12f-e292-4f09-b9b3-99b5f0e3a316,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2976,ASKL MINERAL PROSPECTORS LTD,Uganda,Location license,Gold,Application,13-Nov-18,,,,0.1575 square kilometer,TN2976,,"Western Region, Kyenjojo",1797235d-2935-4a90-a757-cdfdd0b8d552,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
EL1659,ASKL MINERAL PROSPECTORS LTD,Uganda,Exploration licence,"Copper, Gold, Manganese",Active,12-Aug-16,15-Jun-17,14-Jun-20,0,37.9000 square kilometer,TN2490,,"Western Region, Kyenjojo",c3324296-3352-4ff8-90bf-e63868782ba0,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1660,ASKL MINERAL PROSPECTORS LTD,Uganda,Exploration licence,"Copper, Gold, Manganese",Active,12-Aug-16,15-Jun-17,14-Jun-20,0,50.6302 square kilometer,TN2489,,"Western Region, Kyenjojo",8f2338fa-8b4d-4047-8ad1-4f7373cb2f19,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2467,ASWAN MINING LIMITED,Uganda,Exploration licence,Industrial Minerals,Application,27-Oct-16,,,,85.0000 square kilometer,TN2467,,"Northern Region, Kitgum",6a52f36c-bca3-4c37-b5d0-b106745c43db,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1663,ATUHAIRE CONRAD,Uganda,Exploration licence,"Base Metals, Gold",Active,05-Oct-17,07-Jun-17,07-May-20,0,63.9616 square kilometer,TN2542,1. TN2563 Hectares been excluded from the license because of the location license of the license holder.,"Western Region, Buhweju, Ibanda, Rubirizi",1eb50a13-f4a1-41ab-a4f9-044cf445bd6b,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
LL1747,ATUHAIRE CONRAD,Uganda,Location license,Gold,Active,06-May-17,05-Apr-18,05-Mar-20,0,0.1565 square kilometer,TN2563,,"Western Region, Buhweju",dbe8d416-a1bc-4b36-9528-7c9cb95c5ff1,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2129,ATUHURA MOURNEEN (100%),Uganda,Exploration licence,"Niobium, Tantalite, Tin",Application,02-Jun-15,,,,21.5000 square kilometer,TN2129,,"Western Region, Kabale, Ntungamo",0ae4b843-9062-497e-be24-531953c746a5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2217,ATUHURA MOURNEEN (100%),Uganda,Exploration licence,Iron Ore,Application,07-Jan-15,,,,11.7210 square kilometer,TN2217,,"Western Region, Kabale",73d8f8a3-a590-4643-86c0-c80eb5ed7164,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2978,ATWOOKI DEOGRASCIOUS MUGENYI,Uganda,Exploration licence,Dimension Stone,Application,22-Nov-18,,,,0.9992 square kilometer,TN2978,,"Central Region, Mukono",39caa02c-cfa9-495b-90a6-98eb8f24adf9,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1093,AUC MINING (U) LIMITED (100%),Uganda,Exploration licence,Gold,Active,22-Oct-12,20-Feb-13,19-Feb-20,2,144.7824 square kilometer,TN1539,"Date reviewed: 19/06/2015
User reviewed: Morris 
Status: up-to-date
Comments:","Central Region, Mubende",ed9ec279-4938-4dfd-ad25-d19990b52124,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 3
ML4063,AUC MINING (U) LIMITED (100%),Uganda,Mining lease,Gold,Active,,01-Mar-94,01-Feb-30,1,580.6816 Hectare,,,"Central Region, Mubende",bd543629-9ce9-45b2-843b-dd570f6fa215,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN2016,AUTOMU ELECTRONICS CO. LTD (100%),Uganda,Location license,Pozzolana,Application,31-Jul-14,,,,0.1500 square kilometer,TN2016,,"Western Region, Kabarole",fd753fd8-1e36-452a-9bdc-92db2f9b0f76,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2649,BAKU MINES LIMITED,Uganda,Exploration licence,Iron Ore,Application,13-Oct-17,,,,67.6121 square kilometer,TN2649,,"Western Region, Kabale",254fc885-eba9-42a5-b48b-20cc57fb6eb9,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2414,BALAJI GROUP (EA) LIMITED,Uganda,Exploration licence,"Dimension Stone, Granite",Application,28-Jul-16,,,,45.0000 square kilometer,TN2414,,"Central Region, Mubende; Western Region, Kyegegwa",db344651-63ad-42c5-b284-7578c1fa40fa,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1651,BANTU ENERGY UGANDA LIMITED,Uganda,Exploration licence,Geothermal,Active,12-Jul-16,05-Mar-17,05-Feb-20,0,92.5878 square kilometer,TN2485,,"Northern Region, Nebbi",cfc6677b-3044-486a-861f-88aed91aa46d,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2155,BASIL R. BATARINGAYA (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,30-Mar-15,,,,100.1000 square kilometer,TN2155,,"Central Region, Luwero, Mityana, Nakaseke, Wakiso",a738b681-b0ae-4c9b-a705-c8fae3ee4d30,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2993,BASK MINES LIMITED,Uganda,Exploration licence,Granite,Application,12-May-18,,,,148.0691 square kilometer,TN2993,,"Central Region, Butambala, Mityana, Mpigi",cec4f133-06e7-4137-b484-35d4383989fa,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2239,BAXTAR MINING COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,14-Aug-15,,,,158.0725 square kilometer,TN2239,,"Western Region, Hoima",faa6222d-80a2-481b-b228-56c3ea91309d,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2240,BAXTAR MINING COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,14-Aug-15,,,,35.0000 square kilometer,TN2240,,"Central Region, Kyankwanzi; Western Region, Hoima",c945b60c-990c-4b9d-b289-66f11df71201,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
LL1707,BDI MINING LIMITED,Uganda,Location license,Gold,Active,29-May-17,30-Jan-18,29-Jan-20,0,0.1600 square kilometer,TN2560,,"Northern Region, Nakapiripirit",57fabf37-648c-46b3-ad64-c8d70f77d076,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2604,BDI MINING LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,28-Jul-17,,,,165.0000 square kilometer,TN2604,,"Northern Region, Nakapiripirit",2b4e0836-c260-4461-8ec0-974d4383f0ca,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1634,BDI MINING LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,09-Jun-16,02-Oct-17,02-Sep-20,0,116.7900 square kilometer,TN2437,,"Northern Region, Nakapiripirit",ef3ce989-9632-42cf-9b53-8111a0bdfe43,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
LL1661,BEGUMISA BOAZ KAYONDO,Uganda,Location license,"Base Metals, Gold",Active,23-Nov-16,15-Jun-17,14-Jun-19,0,0.1464 square kilometer,TN2478,,"Western Region, Buhweju",72468b4a-e3ea-4237-9dd6-0366f19a5e3c,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
ML0842,BERKELEY REEF LIMITED (100%),Uganda,Mining lease,Wolfram,Active,,16-Sep-11,15-Sep-32,0,4.8435 square kilometer,,"	prepare revocation gazette","Western Region, Kabale, Kanungu",4e90abfc-4158-4b99-a546-5ea5b218104c,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1676,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals",Active,28-Jul-17,09-Jul-17,09-Jun-20,0,54.6850 square kilometer,TN2605,,"Western Region, Ntungamo",525f62ae-bd33-4895-935e-e77f4d302fa7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1677,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals",Active,28-Jul-17,09-Jul-17,09-Jun-20,0,103.3920 square kilometer,TN2606,,"Western Region, Bushenyi",72a6b451-28f7-43f4-b980-90c0ad2f64b0,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1685,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals",Active,28-Jul-17,18-Oct-17,17-Oct-20,0,224.5000 square kilometer,TN2607,,"Eastern Region, Bugiri, Iganga",fd36aab3-9899-4462-a410-6b3808d2d441,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1686,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,28-Jul-17,18-Oct-17,17-Oct-20,0,354.3400 square kilometer,TN2608,,"Western Region, Kibaale",ba103895-97c7-419c-a21b-3493ad05f2f3,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1687,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals",Active,28-Jul-17,18-Oct-17,17-Oct-20,0,414.4600 square kilometer,TN2609,,"Eastern Region, Iganga, Jinja, Luuka, Mayuge",29abefe3-8362-47ce-bedd-78e6c1da5345,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1675,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals",Active,25-Aug-17,09-Jul-17,09-Jun-20,0,298.6200 square kilometer,TN2600,,"Western Region, Kiryandongo",26c3ad0e-78d7-4f0d-9361-848e3b8025ad,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1673,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Limestone , Platinum Group Metals",Active,21-Jul-17,09-Jul-17,09-Jun-20,0,95.3650 square kilometer,TN2598,,"Western Region, Kabarole, Kasese",885ae9f1-f129-47a6-9dd3-487d07dff006,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1674,BETA MINERAL LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Limestone , Platinum Group Metals",Active,21-Jul-17,09-Jul-17,09-Jun-20,0,97.9200 square kilometer,TN2599,,"Western Region, Kasese",0f88ac1a-9d51-4a01-ac20-89189b42e7c0,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2500,BETTA LINKS (U) LIMITED,Uganda,Location license,Industrial Minerals,Application,24-Jan-17,,,,0.1600 square kilometer,TN2500,,"Western Region, Hoima",5409e624-f94a-4043-8cac-4de4baec7f9d,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2446,BIG PICTURE CORPORATION (100%),Uganda,Exploration licence,Granite,Application,22-Sep-16,,,,95.4650 square kilometer,TN2446,,"Eastern Region, Tororo",7892ffe8-4ec3-4995-8118-0fb1b0bf875a,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2066,BIG PICTURE CORPORATION (100%),Uganda,Exploration licence,"Base Metals, Gold, Rare Earth Elements",Application,27-Oct-14,,,,88.4514 square kilometer,TN2066,,"Northern Region, Kaabong, Moroto",6f263463-3a3f-4437-bfbf-b167eb6e5cf5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1576,BIG PICTURE CORPORATION (100%),Uganda,Exploration licence,"Limestone , Marble",Active,27-Jan-15,30-Jun-16,29-Jun-19,0,55.0000 square kilometer,TN2124,,"Northern Region, Kotido",cab9e56a-6801-494b-a969-f23d7852eb30,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN 2153,BIG PICTURE CORPORATION (100%),Uganda,Exploration licence,Marble,Application,25-Mar-15,,,,23.8775 square kilometer,TN 2153,,"Northern Region, Moroto",aab70321-c2d7-411e-a9d5-fb05004d62ea,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2154,BIG PICTURE CORPORATION (100%),Uganda,Exploration licence,"Gold, Platinum Group Metals",Application,25-Mar-15,,,,9.0000 square kilometer,TN2154,,"Northern Region, Moroto",39228152-655c-4639-9652-bc93b16627cb,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2370,BIG PICTURE CORPORATION (100%),Uganda,Exploration licence,PhospHectaretes,Application,05-Oct-16,,,,145.8359 square kilometer,TN2370,,"Eastern Region, Tororo",88edcee2-dc0f-4414-8d91-151accc79a92,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1543,BIG PICTURE CORPORATION (100%),Uganda,Exploration licence,"Limestone , Marble",Active,03-Feb-15,22-Feb-16,21-Feb-19,0,10.0000 square kilometer,TN2136,,"Northern Region, Moroto",edd7426a-0988-4bac-9675-32482d4d3a02,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1629,BIHA INTERNATIONAL LIMITED,Uganda,Exploration licence,"Limestone , Marble",Active,30-Sep-16,31-Jan-17,30-Jan-20,0,4.5000 square kilometer,TN2453,,"Northern Region, Moroto",3c68ee11-145f-4ce7-b1e2-e84283cbed48,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML1413,BNT MINING LIMITED (100%),Uganda,Mining lease,Tantalite,Active,10-Feb-14,18-Dec-14,17-Dec-35,0,0.2739 square kilometer,TN2049,"	prepare revocation gazette","Western Region, Ntungamo",1352207f-b255-4634-841d-c09fc6511af3,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1702,BR AGROFOOD INDUSTRIES LIMITED,Uganda,Exploration licence,Granite,Active,31-Jan-17,11-Oct-17,11-Sep-20,0,1.0000 square kilometer,TN2502,,"Eastern Region, Luuka",578e1e44-9fe7-4a6d-9d8c-1db526584281,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1703,BR AGROFOOD INDUSTRIES LIMITED,Uganda,Exploration licence,Granite,Active,31-Jan-17,11-Oct-17,11-Sep-20,0,2.0900 square kilometer,TN2503,,"Eastern Region, Kamuli",0348719e-4c5d-4fdd-bcb4-595420c27b29,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2746,BR AGROFOOD INDUSTRIES LIMITED,Uganda,Mining lease,Granite,Application,03-Dec-18,,,,29.0000 Hectare,TN2746,,"Eastern Region, Kamuli",838bd1c4-a17b-4d99-8f79-be29e71a0205,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN2729,BR AGROFOOD INDUSTRIES LIMITED,Uganda,Mining lease,Granite,Application,19-Feb-18,,,,8.2500 Hectare,TN2729,,"Eastern Region, Luuka",8566a659-135b-4be6-9af1-e2d26ed73308,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN2659,BR AGROFOOD INDUSTRIES LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Iron Ore, Rare Earth Elements, Vermiculite",Application,11-Jan-17,,,,30.9600 square kilometer,TN2659,,"Eastern Region, Manafwa, Mbale",6f992beb-e9b6-4e89-bfbd-0816f777c9d7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2660,BR AGROFOOD INDUSTRIES LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Rare Earth Elements",Application,11-Jan-17,,,,22.2231 square kilometer,TN2660,,"Eastern Region, Namayingo",0c41973a-6037-46d5-8952-134ca26aad0b,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2958,BRESUN ENTERPRISES (U) LIMITED,Uganda,Exploration licence,"Platinum Group Metals, Tin, Wolfram",Application,29-Nov-18,,,,12.7987 square kilometer,TN2958,,"Western Region, Kisoro",31a54289-c096-4f8d-a98c-fb569dc9662f,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL 1850,BRESUN ENTERPRISES (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Marble",Active,09-Dec-18,25-Oct-18,24-Oct-21,0,72.9312 square kilometer,TN2929,,"Northern Region, Moroto",06d030d6-8485-4da2-b061-9b1b9d091df1,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2950,BRESUN ENTERPRISES (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Iron Ore",Application,10-Oct-18,,,,14.5586 square kilometer,TN2950,,"Western Region, Kabale, Kisoro",ca1bbff3-2c64-48a4-a48c-dbc2416b7962,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 2
TN2971,BRESUN ENTERPRISES (U) LIMITED,Uganda,Exploration licence,"Gold, Iron Ore, Tin",Application,11-Sep-18,,,,88.7891 square kilometer,TN2971,,"Western Region, Kabale",51351501-c6cf-4a60-a69b-c7fe57ab0869,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
