Code,Parties,Jurisdiction,Type,Commodity,Status,Application date,Grant date,Expiry date,Number of licence renewals,Mining area,Application number,Comments,Map_Refe,guidSHectarep,guidLice,PartName
EL1578,ROSHANALI SHIVJI GANGJI (100%),Uganda,Exploration licence,"Base Metals, Lead",Active,20-Jul-15,27-May-16,26-May-19,0,24.0000 square kilometer,TN2227,"Date reviewed: 24/11/2016 
User reviewed: Morris 
Status: up to date 
Comments: granted","Central Region, Luwero",8ef949a6-c500-44ee-9ba3-0de08725177e,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
LL1715,ROYAL TRANSIT LIMITED,Uganda,Location license,Pozzolana,Active,11-Jun-17,21-Feb-18,20-Feb-20,0,14.0000 Hectare,TN_2658,,"Western Region, Kabarole",f9027a1c-021c-49c4-9357-c54e62f9e0c4,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN1347,ROYALCO RESOURCES LIMITED (100%),Uganda,Exploration licence,"Gold, Tin, Wolfram",Application,24-Apr-12,,,,32.8500 square kilometer,TN1347,,"Eastern Region, Bugiri, Namayingo",d077b02b-5e75-4d60-88db-fd8e80cf84f8,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN1571,ROYALCO RESOURCES LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,14-Sep-12,,,,145.8000 square kilometer,TN1571,,"Eastern Region, Bugiri, Namayingo",d42aaa2a-56b5-4558-855b-f2b753b7c289,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN1377,ROYALCO RESOURCES LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,21-May-12,,,,138.3600 square kilometer,TN1377,,"Eastern Region, Bugiri, Namayingo",417c8a54-7d78-426a-845c-d426c87c73f6,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1812,RUSLA MINING AND MINERALS LIMITED,Uganda,Exploration licence,"Base Metals, Iron Ore",Active,24-Nov-16,09-Jun-18,09-May-21,0,10.4841 square kilometer,TN2479,,"Western Region, Kisoro",8a7ab657-05db-489f-ac62-2d46704a1b6e,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2493,RUSLA MINING AND MINERALS LIMITED,Uganda,Exploration licence,"Base Metals, Iron Ore",Application,13-Dec-16,,,,11.3828 square kilometer,TN2493,,"Western Region, Kisoro",a4e9df46-06b9-4d26-a7bf-85fb866a6903,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1817,RUSLA MINING AND MINERALS LIMITED,Uganda,Exploration licence,"Base Metals, Iron Ore",Active,12-Dec-16,09-Nov-18,09-Oct-21,0,15.8562 square kilometer,TN2492,,"Western Region, Kabale, Kisoro",35aa4f22-59ed-4ab9-bfce-6f71c4da730c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN1430,RUSLA MINING AND MINERALS LIMITED (100%),Uganda,Exploration licence,"Base Metals, Tin, Wolfram",Application,13-Jul-12,,,,101.0000 square kilometer,TN1430,,"Western Region, Ntungamo",5845eb58-dfa3-4a9b-9d71-fbbf81eb1106,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2648,RUTH TWESIGWE,Uganda,Location license,Gold,Application,10-Dec-17,,,,0.1573 square kilometer,TN2648,,"Western Region, Buhweju",9ba810ce-47d4-453f-a6a7-0cf2d07cbf63,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2055,RWENZORI AGRO COMPANY (100%),Uganda,Exploration licence,Pozzolana,Application,13-Oct-14,,,,3.1000 square kilometer,TN2055,,"Western Region, Kabarole",e3116857-67f5-48f5-84c3-6d3ebb9a940b,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1766,RWENZORI RARE METALS LIMITED ,Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals, Rare Earth Elements, Uranium",Active,04-Jun-17,07-Jun-18,07-May-21,0,47.0250 square kilometer,TN2528,,"Eastern Region, Bugiri, Iganga",c6837dd3-ef9d-4439-b148-4a3709b020d7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
RL1693,RWENZORI RARE METALS LIMITED  (100%),Uganda,Retention licence,Rare Earth Elements,Active,07-Oct-17,11-Feb-17,11-Jan-20,0,43.7875 square kilometer,TN2587,,"Eastern Region, Bugiri, Iganga, Mayuge",92ead254-0a32-4534-a657-bf4aa9c34424,6a43f54f-8d7d-4f70-9ca4-84e5bf2a0937,Part 1
EL0971,RWENZORI RARE METALS LIMITED  (100%),Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals",Active,05-Jun-11,04-Feb-12,04-Jan-19,2,87.2112 square kilometer,TN0997,,"Eastern Region, Iganga, Jinja, Luuka, Mayuge",bbb5d02b-4750-46e1-aff7-f9d10a0bf588,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1865,RWENZORI SHINING STAR LIMITED,Uganda,Exploration licence,Salt,Active,29-Aug-18,27-Nov-18,26-Nov-21,0,403.9626 square kilometer,TN2907,,"Western Region, Kasese",0321c490-60c6-489c-9858-517d5baee707,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1573,RYAN MINING AND CONSTRUCTION COMPANY (U) LIMITED (100%),Uganda,Exploration licence,Pozzolana,Active,29-Dec-15,05-May-16,05-Apr-19,0,12.1273 square kilometer,TN2306,,"Western Region, Kabarole",99569104-fdbb-4930-99b4-9713942ef64c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 3
EL1606,SALT PLUS LIMITED,Uganda,Exploration licence,EL/ML - Salt,Active,17-Jun-16,25-Oct-16,24-Oct-19,0,1.3000 square kilometer,TN2391,,"Western Region, Kasese",4ec1f76b-517a-4a89-bd05-184ecfb352c2,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1776,SAMAKULA NOOH,Uganda,Exploration licence,"Base Metals, Gold",Active,21-Nov-17,23-Jul-18,22-Jul-21,0,15.0000 square kilometer,TN2677,,"Central Region, Kyankwanzi, Mubende; Western Region, Kibaale",74356a87-ed78-4b25-a107-67f4b9027d32,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
